owner_name,operating_name,permit_number,street,city,state,zip,county,latitude,longitude
"WEST OVERTON DISTILLING,  LLC",,PA-S-15014,109 W OVERTON RD,SCOTTDALE,PA,15683,WESTMORELAND,40.4507364,-80.0248219
"SALEM SPIRITS, LLC",,PA-S-15017,2662 ROUTE 819,GREENSBURG,PA,15601,WESTMORELAND,40.4507364,-80.0248219
TATTERED FLAG STILL WORKS LLC,TATTERED FLAG STILL WORKS,PA-S-20059,5 S UNION ST,MIDDLETOWN,PA,17057,DAUPHIN,40.263234,-76.86902767993698
"DEAD LIGHTNING DISTILLERY, LLC",DEAD LIGHTNING DISTILLERY,PA-S-20066,233 PLUM ST,LEMOYNE,PA,17043,CUMBERLAND,40.2509454,-76.8656711
"STRANGE QUARK DISTILLING, LLC",QUANTUM SPIRITS,PA-S-20076,230 E MAIN ST UNIT 200,CARNEGIE,PA,15106,,40.5046929,-75.78883855000001
REVEL SPIRITS LLC,NOMAD DISTILLING CO.,PA-S-20091,5451 STATE ROUTE 654,WILLIAMSPORT,PA,17702,LYCOMING,40.7918702,-76.5594403
"THE EXPERT GROUP, LTD",RAMHORN DISTILLERY,PA-S-20121,101 W DUBOIS AVE,DUBOIS,PA,15801,CLEARFIELD,34.78517,-86.8328980579603
"NOBLE DISTILLING COMPANY, LLC",NOBLE DISTILLING COMPANY,PA-S-20131,1115 BERN RD,WYOMISSING,PA,19611,BERKS,40.56312815,-76.0008198
STRIVERS' ROW DISTILLERY LTD,,PA-S-20157,3401 I ST UNIT 306,PHILADELPHIA,PA,19134,PHILADELPHIA,39.9635057,-75.174758
2 D DISTILLERY LLC,2 D DISTILLERY,PA-S-20169,196 DOE RUN RD,MANHEIM,PA,17545,LANCASTER,40.158098800000005,-76.38157167038122
"CRICK LIQUORS DISTILLERY, LLC",CRICK LIQUORS DISTILLERY,PA-S-20180,139 W FAYETTE ST,UNIONTOWN,PA,15401,FAYETTE,40.4507364,-80.0248219
"DERO SPIRITS, LLC",DERO PREMIUM CELLO,PA-S-20191,411 DEPOT ST,BRIDGEPORT,PA,19405,,40.0798858,-75.3563054
YARDLEY LOBSTER LLC,YARDLEY DISTILLERY,PA-S-20199,35 S MAIN ST,YARDLEY,PA,19067,BUCKS,40.17770885,-74.76271348259363
MADNESS DISTILLERY LLC,,PA-S-20224,526 MARION LN,BRODHEADSVILLE,PA,18322,USA,40.8148503,-75.7323622
"LOVE, KATIE DISTILLING LLC",,PA-S-20235,816 MAIN ST,SHARPSBURG,PA,15215,ALLEGHENY,40.4507364,-80.0248219
SUSTAINABLE STILL LLC,,PA-S-20244,277 SHARIE ST,PHILIPSBURG,PA,16866,CENTRE,44.289627,-70.042577
"ALAMO PREMIUM DISTILLERY, INC.",ALAMO DISTILLING COMPANY,TX-S-20045,2030 E HOUSTON ST,SAN ANTONIO,TX,78202,BEXAR,29.415193000000002,-98.45615316503668
"JOHNSON COUNTY DISTILLERY, LLC",JOHNSON COUNTY DISTILLERY,TX-S-20057,1655 S MAIN ST,CLEBURNE,TX,76033,JOHNSON,32.33913475,-97.41274448534242
SOUTH TEXAS DISTILLERY LLC,SOUTH TEXAS DISTILLERY,TX-S-20072,642 FM 1540,SANDIA,TX,78383,JIM WELLS,27.853936500000003,-97.63127289579111
"MOONSHINE RIDGE, INC.",,TX-S-20074,104 E PECAN ST,JOHNSON CITY,TX,78636,BLANCO,30.600087199999997,-98.2696350614643
ROBERT W. SANGIOVANNI,SANGIOVANNI DISTILLERY,TX-S-20076,4701 PRIEM LN STE 3B,PFLUGERVILLE,TX,78660,TRAVIS,30.45169125,-97.60610054171131
"RUMINATE DISTILLING, L.L.C.",ISLAND GETAWAY RUM,TX-S-20090,231 FROG POND LN,DRIPPING SPRINGS,TX,78620,HAYS,30.0880604,-97.82334800199865
HAMPSHIRE HILLS DISTILLERY LLC,HAMPSHIRE HILLS DISTILLERY,TN-S-20136,457 OVERHEAD BRIDGE RD,HAMPSHIRE,TN,38461,LEWIS,35.2033805,-87.0600654
SAND CREEK DISTILLERY LTD.,SAND CREEK DISTILLERY,CO-S-20062,324 5TH ST STE A,HUGO,CO,80821,LINCOLN,39.35983025,-104.62028488106705
OAKLORE DISTILLING COMPANY LLC,,NC-S-20120,11136 MONROE RD,MATTHEWS,NC,28105,MECKLENBURG,35.38989575,-80.71022221657768
NOAH SPIRITS LLC,MANATAWNY STILL WORKS,PA-S-20010,320 CIRCLE OF PROGRESS DR STE 103 & 104,POTTSTOWN,PA,19464,MONTGOMERY,40.1299964,-75.5412032
"SWEET GRACE DISTILLING CO., LLC",FEDERAL DISTILLING,PA-S-20025,161 CECIL B MOORE AVE UNIT 103,PHILADELPHIA,PA,19122,PHILADELPHIA,39.97765425,-75.17396155
"FIREWALKER'S SMALL BATCH DISTILLERY, LLC",TRIPLE SUN SPIRITS COMPANY,PA-S-20040,518 BANK ST UNIT A,EMMAUS,PA,18049,LEHIGH,40.55703389999999,-75.39867520893372
PHILADELPHIA WHISKEY COMPANY,,PA-S-20108,161-73 CECIL B. MOORE AVE STE C-2,PHILADELPHIA,PA,19122,,39.97765425,-75.17396155
"EMOTIONAL WELLNESS COUNSELING, LLC",HILLBILLY HOOCH,PA-S-20129,2481 LANCASTER PIKE,READING,PA,19607,,40.56312815,-76.0008198
"HIDDEN STILL, INC.",HIDDEN STILL SPIRITS,PA-S-20144,"505 W CHOCOLATE AVE., REAR BLDG B",HERSHEY,PA,17033,DAUPHIN,40.2509454,-76.8656711
NEW CASTLE UNION STATION CRAFT DISTILLERY INC,NEW CASTLE UNION STATION CRAFT DISTILLERY,PA-S-20206,334 E WASHINGTON ST,NEW CASTLE,PA,16101,,40.680160650000005,-80.11394066706241
BREAKER BREWING COMPANY,BREAKER DISTILLING COMPANY,PA-S-20251,787 EAST NORTHAMPTON ST,WILKES-BARRE TWP,PA,18702,LUZERNE,41.2468002,-75.8739505
PHILADELPHIA DISTILLING LLC,,PA-S-15000,1000-1052 FRANKFORD AVE,PHILADELPHIA,PA,19123,PHILADELPHIA,39.9635057,-75.174758
CHICKEN HILL DISTILLERY AND BREWING LLC,CHICKEN HILL DISTILLERY & BREWING,PA-S-20080,277 FAIRVIEW RD,KERSEY,PA,15846,ELK,44.289627,-70.042577
SWEET RUST INDUSTRIES LLC,SWEET RUST INDUSTRIES,PA-S-20176,3010 SASSAFRAS WAY UNIT B,PITTSBURGH,PA,15201,ALLEGHENY,40.4507364,-80.0248219
LAUREL HIGHLANDS BAKED GOODS LLC,CHAMMER DISTILLERY,PA-S-20250,2040 LINCOLN WAY UNIT 1 & 119,WHITE OAK,PA,15131,ALLEGHENY,40.4507364,-80.0248219
BIG THICKET DISTILLING COMPANY,OLD HUMBLE DISTILLING COMPANY,TX-S-20025,311 N HOUSTON AVE STE 100,HUMBLE,TX,77347,HARRIS,31.892678,-102.3414021
"KING CITY MOUNTAIN MEDICINE, LLC",KING CITY DISTILLERY,TN-S-20111,215 COMMERCE ST STE 100,KINGSPORT,TN,37660,SULLIVAN,36.5564021,-82.6049624
"THRIVE HOLDINGS, LLC",SOUTHERN COLLECTIVE SPIRIT CO.,TN-S-20121,817 AND 819 2ND AVENUE SOUTH,NASHVILLE,TN,37210,DAVIDSON,36.2192538,-86.6979516
"HIDDEN SHIPS DISTILLERY, LLC",,NC-S-20135,116 CHARLIE MEDLIN DR UNIT 5 F/G,SURF CITY,NC,28445,PENDER,34.55017725,-77.43510394873545
BRAD HALLING AMERICAN WHISKEY CO. LLC,BHAWK,NC-S-20145,175 YADKIN RD,SOUTHERN PINES,NC,28387,MOORE COUNTY,35.1662842,-79.44539539994526
"DENVER DISTILLERY, LLC",DENVER DISTILLERY,CO-S-20081,244 S BROADWAY,DENVER,CO,80209,DENVER,39.75260385,-105.22287559016559
"ROCK TOWN DISTILLERY, INC.",ROCK TOWN DISTILLERY,AR-S-15003,1201 MAIN ST,LITTLE ROCK,AR,72202,PULASKI,34.6704717,-92.37609399961696
"FOX TRAIL DISTILLERY, LLC",,AR-S-20004,2121 S BELLVIEW RD,ROGERS,AR,72758,BENTON,36.2856466,-94.1617889
SANDRO J. LUKANOVIC,CTL DISTILLERY DOBERMAN RANCH,AR-S-20015,1758 WALLER RD,BEE BRANCH,AR,72013,VAN BUREN,35.56722485,-92.45252799211234
LOMBARDI LLC,LOMBARDI COMPANY,AR-S-15001,3021 E BROADWAY,NORTH LITTLE ROCK,AR,72114,PULASKI,34.78043035,-92.13760456861263
"ST. SUPERY, INC.",ST. SUPERY VINEYARDS & WINERY,CA-S-15019,8440 ST HELENA HWY,RUTHERFORD,CA,94573,NAPA,38.32874325,-122.7079962
"VILLA TOSCANO, INC.",VILLA TOSCANO,CA-S-15051,10600 SHENANDOAH RD,PLYMOUTH,CA,95669,AMADOR,38.3864424,-120.73378344549431
"YERBA BUENA BEVERAGE, LLC",TREASURE ISLAND BRANDS,CA-S-15068,750 6TH ST,SAN FRANCISCO,CA,94130,SAN FRANCISCO,37.7718367,-122.4164222
"TAMAR DISTILLERY, INC.",AMERICAN CRAFT WHISKEY DISTILLERY,CA-S-15091,1110 BEL ARBRES DR #D,REDWOOD VALLEY,CA,95470,MENDOCINO,32.6416823,-111.4015064
STEPHEN P. AUTRY,AUTRY CELLARS,CA-S-15129,5450 EDNA RD UNIT B,SAN LUIS OBISPO,CA,93401,SAN LUIS OBISPO,34.952757,-120.4530547
"TREFETHEN FAMILY WINERY, LLC",TREFETHEN VINEYARDS,CA-S-15151,1160 OAK KNOLL AVE,NAPA,CA,94558,NAPA,37.93348225,-122.0631367
"HUMBOLDT CRAFT DISTILLERS, LLC",HUMBOLDT CRAFT DISTILLERS,CA-S-20016,205 7TH ST STE C,EUREKA,CA,95501,HUMBOLDT,38.4034992,-122.8213783
"STASHHOUSE WHISKEY CO., LLC",,AL-S-20041,123 LINDSEY RD,CULLMAN,AL,35055,CULLMAN,34.15091975,-86.8429843
"SAVANNAH-CHANELLE VINEYARDS, INC.",,CA-S-15008,23600 CONGRESS SPRINGS RD,SARATOGA,CA,95070,SANTA CLARA,37.2576329,-122.0339149
"SKUBIC ENTERPRISES, LLC",OLD HARBOR DISTILLING COMPANY,CA-S-20031,270 17TH ST,SAN DIEGO,CA,92101,SAN DIEGO,32.7290031,-117.17307854992359
"DS PROPERTY DEVELOPMENT, LLC",OCEANSIDE DISTILLERS,CA-S-20121,3044 INDUSTRY ST STE 107,OCEANSIDE,CA,92054,,33.1277769,-117.3112743
"DEVILS CREEK ENTERPRISES,  LLC",DEVILS CREEK DISTILLERY,CA-S-20139,120 COMMERCE DR,MAMMOTH LAKES,CA,93546,MONO,37.242450399999996,-119.538708352063
WHISKEY KINGS LLC,,CA-S-20166,3195 MCMILLIAN DR STE C,SAN LUIS OBISPO,CA,93401,SAN LUIS OBISPO,34.952757,-120.4530547
"HIGHWAY 101 SPIRITS, INC.",STORYHOUSE SPIRITS,CA-S-20201,1220 J ST,SAN DIEGO,CA,92101,,32.7290031,-117.17307854992359
"BARBER LEE SPIRITS, LLC",,CA-S-20239,120 WASHINGTON ST,PETALUMA,CA,94952,SONOMA,38.32874325,-122.7079962
STEPHEN BRIDGE,LOMPOC WINE FACTORY,CA-S-20271,321 D ST,LOMPOC,CA,93436,SANTA BARBARA,34.9389618,-120.4199532
BRAND HOUSE WINES & SPIRITS LLC,,CA-S-20283,137 ANACAPA ST STE D,SANTA BARBARA,CA,93101,SANTA BARBARA,34.2727885,-119.2609533
LC CRAFT WINE & SPIRITS CO LLC,,TX-S-20105,2070 S BRIDGEFARMER RD,LOWRY CROSSING,TX,75069,COLLIN,33.2170016,-96.6258279
"DIME BOX DISTILLERY, LLC",,TX-S-20134,235 W RAILROAD AVE,GIDDINGS,TX,78942,LEE,29.902502249999998,-96.90498017705741
"1693 DISTILLERY, LLC",THE DISTILLERY AT LUCKENBACH ROAD,TX-S-20139,21 LUCKENBACH RD,FREDERICKSBURG,TX,78624,,29.7776594,-98.72625026340071
MBW BRANDS LLC,BACKWOODS CRAFT SPIRITS,TX-S-20152,1807 HOWARD RD,WAXAHACHIE,TX,75165,ELLIS,32.41752365,-96.84028697089391
BUFFALO BAYOU BREWING COMPANY,BUFFALO BAYOU BREWING,TX-S-20194,5301 NOLDA ST,HOUSTON,TX,77007,HARRIS,29.7536089,-95.35965087315671
"TEJAS DISTILLING COMPANY, LLC",TEJAS DISTILLING,TX-S-20203,3233 W 11TH ST STE L1,HOUSTON,TX,77008,HARRIS,29.8114,-95.42869067378243
"AURUM SIERRA, INC.",DRY DIGGINGS DISTILLERY,CA-S-20018,5050 ROBERT J MATHEWS PKWY STE 850,EL DORADO HILLS,CA,95762,EL DORADO,38.3864424,-120.73378344549431
GRIFFO DISTILLERY LLC,GRIFFO DISTILLERY,CA-S-20053,1320 SCOTT ST STE A AND B,PETALUMA,CA,94954,SONOMA,38.32874325,-122.7079962
DC BEVERAGE LLC,LOST REPUBLIC DISTILLING CO.,CA-S-20070,"101 GRANT AVE UNIT A, B, L",HEALDSBURG,CA,95448,SONOMA,38.4034992,-122.8213783
BROTHERS SPIRITS LLC,DORWOOD DISTILLERY,CA-S-20087,201 INDUSTRIAL WAY BLDG D,BUELLTON,CA,93427,SANTA BARBARA,34.6117529,-120.188492
"SAN DIEGO DISTILLERY, INC.",SAN DIEGO DISTILLERY,CA-S-20097,2733 VIA ORANGE WAY STE 101,SPRING VALLEY,CA,91978,USA,32.7144801,-117.01216324939686
"SWINFORD SPIRITS, LLC",SWINFORD SPIRITS,CA-S-20108,8680 MIRALANI DR STE 117,SAN DIEGO,CA,92126,SAN DIEGO,32.990641,-117.1597106
GENEROUS SPIRITS LLC,117° WEST SPIRITS,CA-S-20170,2332 LA MIRADA DR STE 800,VISTA,CA,92081,,33.16310695,-117.20177883976902
SONOMA COAST SPIRITS LLC,SONOMA COAST SPIRITS,CA-S-20183,1372 N MCDOWELL BLVD STE A,PETALUMA,CA,94954,SONOMA,38.32874325,-122.7079962
LEFT COAST BREWING COMPANY,LEFT COAST BREWING CO. TASTING ROOM SMOKEHOUSE DISTILLERY,CA-S-20211,6652 IRVINE CENTER DR,IRVINE,CA,92618,USA,33.68141085,-117.66993139241016
"CROWS CRAFT BREWING & DISTILLING CO., LLC",,CA-S-20235,111 INDUSTRIAL RD UNIT 2,BELMONT,CA,94002,SAN MATEO,37.5958281,-122.376572
"THE DANCING FOX WINERY & BREWERY, INC.",THE DANCING FOX WINERY & BREWERY,CA-S-20247,203 S SCHOOL ST,LODI,CA,95240,,38.3864424,-120.73378344549431
"BLUE TOPAZ DISTILLING, LLC",,TX-S-20115,1402 COTTON FLAT RD STE B,MIDLAND,TX,79701,MIDLAND,31.892678,-102.3414021
"BARTLETTS DISTILLERY, LLC",,TX-S-20126,1303 AND 1301 BEACH AIRPORT RD,CONROE,TX,77301,MONTGOMERY,30.20886025,-95.4584678493487
PRICKLY MESQUITE DISTILLING COMPANY LLC,PRICKLY MESQUITE DISTILLING COMPANY LLC,TX-S-20158,1349 COUNTY ROAD 650,TUSCOLA,TX,79562,TAYLOR,32.43922285,-99.704980706812
"WOLFMUELLER DISTILLING COMPANY, LLC",,TX-S-20175,616 N CREEK RD,HARPER,TX,78631,GILLESPIE,29.7776594,-98.72625026340071
"COMMUNITY BREWING CO., LLC",COMMUNITY BEER COMPANY,TX-S-20189,3110 COMMONWEALTH DR,DALLAS,TX,75247,,32.7758009,-96.86903769485878
"THE HEART DISTILLERY, LLC",THE HEART DISTILLERY,CO-S-20088,6461 HIGHWAY 392,WINDSOR,CO,80550,WELD,40.52379245,-104.98877182631546
"CONSTELLATION BRANDS U.S. OPERATIONS, INC.",WOODBRIDGE WINERY,CA-S-20375,5950 E WOODBRIDGE RD,ACAMPO,CA,95220,SAN JOAQUIN,38.3864424,-120.73378344549431
"TIMBER HOUSE, INC.",TIMBER HOUSE BREWING,CA-S-20308,501 MAIN ST,CHESTER,CA,96020,,39.441937499999995,-121.6033992873331
"STRAND BREWING CO., LLC",,CA-S-20310,2201 DOMINGUEZ ST,TORRANCE,CA,90501,LOS ANGELES,34.08589625,-118.3850183275666
EVANS BREWING COMPANY INC.,,CA-S-20326,2440 RAILROAD ST STE 101,CORONA,CA,92880,,33.979251000000005,-117.64642031789684
NADIEM HANNA KHOURY,ELK FIELD VINEYARDS,CA-S-20334,7801 HIGHWAY 20,UKIAH,CA,95482,MENDOCINO,38.4034992,-122.8213783
"FOLEY FAMILY WINES, INC.",SEBASTIANI VINEYARDS,CA-S-20347,389 E FOURTH ST,SONOMA,CA,95476,,38.32874325,-122.7079962
THREE KINGS SPIRITS LLC,,CA-S-20360,1 CERRO GORDO RD,CERRO GORDO,CA,93530,,32.6416823,-111.4015064
GORDON BIERSCH BREWING COMPANY,RTD SPECIALTIES,CA-S-20372,357 E TAYLOR ST,SAN JOSE,CA,95112,SANTA CLARA,37.3560637,-121.8921616
TOAN AND COMPANY DISTILLING L.L.C.,TOAN AND COMPANY DISTILLING,CA-S-20390,820 FAULSTICH CT,SAN JOSE,CA,95112,SANTA CLARA,37.3560637,-121.8921616
OAKVILLE WINERY ACQUISITION GROUP,NAPA WINE COMPANY,CA-S-20406,7830 ST. HELENA HWY,OAKVILLE,CA,94562,NAPA,38.4034992,-122.8213783
LAUREN'S AT THE BUCKHORN INC.,THE BOONVILLE DISTILLERY,CA-S-20421,14081 NW HIGHWAY 128,BOONVILLE,CA,95415,,38.4034992,-122.8213783
"THE BLACKSTORM BRAND, LLC",THE BLACKSTORM BRAND LLC,CA-S-20459,1634 W 139TH ST,GARDENA,CA,90249,,34.08589625,-118.3850183275666
"ALAMBIC, INC.",,CA-S-266,5000 LOW GAP RD,UKIAH,CA,95482,MENDOCINO,38.4034992,-122.8213783
"ALAMBIC, INC.",,CA-S-353,1110 BEL ARBRES DR STE D,REDWOOD VALLEY,CA,95470,MENDOCINO,32.6416823,-111.4015064
SUTHERLAND DISTILLING COMPANY LLC,,CA-S-20036,3189 INDEPENDENCE DR,LIVERMORE,CA,94551,ALAMEDA,37.7770092,-121.9638884
"JAYDOUR, LLC",HALF MOON BAY DISTILLERY,CA-S-20407,103 HARVARD AVE UNIT 4,HALF MOON BAY,CA,94019,,37.5958281,-122.376572
"RANGE & RIVER DISTILLING, INC.",SINGLE TRACK SPIRITS,WY-S-20001,63 SAGE CREEK RD,CODY,WY,82414,PARK,44.2695245,-105.4961457
WILD WEST SPIRITS LLC,BRUSH CREEK DISTILLERY,WY-S-20013,6065 HIGHWAY 130,SARATOGA,WY,82331,CARBON,32.7440238,-90.0331404
MYSTIC MOUNTAIN DISTILLERY LLC,MYSTIC MOUNTAIN DISTILLERY,CO-S-15004,12441 MEAD WAY UNIT A,LITTLETON,CO,80125,DOUGLAS,39.75260385,-105.22287559016559
BLACK SWAN BEVERAGE COMPANY LLC,"BLACK SWAN BEVERAGE COMPANY, LLC",TX-S-20212,1210 DUNCAN ST BLDG 6,DENTON,TX,76205,,33.2311686,-97.1315364
JOHNNY PICKLES DISTILLERY LLC,JOHNNY PICKLES DISTILLERY,TX-S-20237,1711 N AUSTIN ST,SEGUIN,TX,78155,GUADALUPE,29.56481595,-97.94290570067932
FOUR BLUE PALMS LLC,STANDARD PROOF WHISKEY CO.,TX-S-20250,51 RAINEY ST STE 140A,AUSTIN,TX,78701,,30.2192565,-97.75535495714286
RANCH BRAND WINE & SPIRITS LLC,RANCH BRAND WINE & SPIRITS,TX-S-20262,13619 RANCH ROAD 12,WIMBERLEY,TX,78676,HAYS,29.8809946,-97.91218801271046
TEXAS URBAN ROOTS LLC,URBAN SOUTH DISTILLING,TX-S-20271,1201 OLIVER ST STE 10,HOUSTON,TX,77007,,29.7536089,-95.35965087315671
"TEXAS FOOTHILLS DISTILLERY, LLC",TEXAS FOOTHILLS,TX-S-20280,359 LAMA RD STE A,BOWIE,TX,76230,,33.53989,-97.835519
MAUI PROCESS TECHNOLOGIES LLC,HALEAKALA DISTILLERS,HI-S-125,530 KEALALOA AVE,MAKAWAO,HI,96768,MAUI,20.902278,-156.303946
"MAD COUNTY WINERY, LLC",,AL-S-20002,"121 CASTLE DR, NW STE D",HUNTSVILLE,AL,35758,MADISON,34.68163145,-86.84569571284743
19TH HOLE SPIRITS LLC,19TH HOLE SPIRITS,CA-S-20435,2731 VIA ORANGE WAY STE 104,SPRING VALLEY,CA,91978,SAN DIEGO,32.7144801,-117.01216324939686
ARIS VODKA CORPORATION,ARIS VODKA CORPORATION,CA-S-20441,759 S STATE COLLEGE BLVD UNIT 18,FULLERTON,CA,92831,ORANGE COUNTY,34.0745997,-118.0534304
STEELTOWN WINERY LLC,BUILDING 43 DISTILLERY,CA-S-20471,2440 MONARCH ST STE 100,ALAMEDA,CA,94501,ALAMEDA COUNTY,37.7787974,-122.23935449386153
F. KORBEL & BROS.,HECK CELLARS,CA-S-302,15401 BEAR MOUNTAIN WINERY RD,DI GIORGIO,CA,93203,KERN,34.2727885,-119.2609533
"CONSTELLATION BRANDS U.S. OPERATIONS, INC.",MISSION BELL WINERY,CA-S-64,12667 ROAD 24,MADERA,CA,93637,MADERA,36.808018149999995,-119.76066615375548
"BRUTOCAO CELLARS, BRUTOCAO FAMILY ENTERPRISES, LLC, GP, BRUTOCAO",,CA-S-15137,1400 HIGHWAY 175,HOPLAND,CA,95449,MENDOCINO,38.4034992,-122.8213783
FOGGY BOTTOM DISTILLERY LLC,FOGGY BOTTOM DISTILLERY,CA-S-20152,905 LOS OSOS VALLEY RD STE B,LOS OSOS,CA,93402,SAN LUIS OBISPO,34.952757,-120.4530547
"HACIENDA LOPEZ, INC.",LOPEZ SPIRITS & BEVERAGES COMPANY,CA-S-20278,21170 CENTRE POINTE PKWY STE 230,SANTA CLARITA,CA,91350,UNITED STATES,34.08589625,-118.3850183275666
CLASSICK IMPORT & EXPORT LLC,ESSENTIAL SPIRITS ALAMBIC DISTILLERIES,CA-S-349,144 A & B SOUTH WHISMAN RD,MT VIEW,CA,94041,SANTA CLARA,37.37191585,-122.05665941229606
LOCAL DISTILLING INC,CLEAN MAN PRODUCTS,CO-S-20001,417 VIOLET ST BLDG 417-419,GOLDEN,CO,80401,,39.75260385,-105.22287559016559
MILLERS POINT CONSULTING LLC,JACKRABBIT SUGAR SPIRITS,TX-S-20224,"12013 FITZHUGH RD, BOX A",AUSTIN,TX,78736,TRAVIS,30.2747681,-97.7992824
TEXAS FERMENTS LLC,,TX-S-20245,16373 TONKAWAY LAKE RD BLDG A,COLLEGE STATION,TX,77845,BRAZOS,30.5988212,-96.30175373675749
SOUTHWEST PACKAGING SOLUTIONS LLC,SOUTHWEST PACKAGING SOLUTIONS,TX-S-20289,5110 RONDO DR,FT WORTH,TX,76106,TARRANT,32.7378178,-97.43351246826438
KOLOA RUM CORP.,THE KOLOA RUM COMPANY,HI-S-15005,2 KAUMUALI'I HWY SUITE C,KALAHEO,HI,96741,KAUAI,21.92184,-159.55157
"HAWAIIAN AGRICULTURAL PRODUCTS, LLC",HAWAIIAN SHOCHU COMPANY,HI-S-20001,66-542 HALEIWA RD,HALEIWA,HI,96712,,21.379409,-158.022601
HAWAIIAN OLA BREWING CORPORATION,HAWAIIAN OLA BREWING,HI-S-20017,74-5598 LUHIA ST STE 106,KAILUA-KONA,HI,96740,KONA,46.549651,-87.485618
"COASTAL EXTREME BREWING CO., LLC",NEWPORT DISTILLING COMPANY,RI-S-15000,293 J.T. CONNELL HWY,NEWPORT,RI,02840,NEWPORT,41.4867301,-71.3148749
HALTER WINERY LLC,HALTER WINERY,CA-S-15007,8910 ADELAIDA RD,PASO ROBLES,CA,93446,SAN LUIS OBISPO,34.9389618,-120.4199532
"SHARP INDUSTRIAL TOOLS, INC.",JOHN MCCULLOCH DISTILLERY,OH-S-15000,414 CEMETARY RD,MARTINSVILLE,OH,45146,CLINTON,39.3321206,-84.3508736
"SOUTH RIVER VINEYARD, INC.",RED EAGLE SPIRITS & DISTILLERY,OH-S-15020,6202 S RIVER RD,GENEVA,OH,44041,ASHTABULA,41.746443,-80.769475
FIVE POINTS DISTILLERY LLC,BELLE OF DAYTON,OH-S-20012,122 VAN BUREN ST,DAYTON,OH,45402,MONTGOMERY,39.3321206,-84.3508736
HIGH BANK DISTILLERY LLC,HIGH BANK DISTILLERY,OH-S-20053,1051 GOODALE BLVD,GRANDVIEW HEIGHTS,OH,43212,FRANKLIN,39.9795057,-83.0626309
HOCKING TECHNICAL COLLEGE,BLACK DIAMOND DISTILLERY,OH-S-20059,105 W MAIN ST,NEW STRAITSVILLE,OH,43766,,39.54034135,-82.4377391929174
"HIDDEN VALLEY SPIRITS, LLC",HIDDEN VALLEY ORCHARDS,OH-S-20069,5474 N STATE ROUTE 48,LEBANON,OH,45036,,39.3321206,-84.3508736
HALL BROTHERS DISTILLERY LLC,HALL BROTHERS DISTILLERY,OH-S-20081,3757 INPARK CIR,DAYTON,OH,45414,MONTGOMERY,39.3321206,-84.3508736
"MOELLER BREW BARN, LLC",MOELLER BREW BARN,OH-S-20093,8016 MARION,MARIA STEIN,OH,45860,MERCER,40.5563218,-84.5413516
PISCAZZI FAMILY SPIRITS LLC,TOWPATH DISTILLERY,OH-S-20102,1824 MERRIMAN RD,AKRON,OH,44313,SUMMIT,41.100651,-81.654346
"DIRTY MINER DISTILLERY, LLC",,OH-S-20115,3425 1/2 FROST RD,MANTUA,OH,44255,PORTAGE,41.1502859,-81.349521
NORTHERN YANKEE MOONSHINE LLC,NORTHERN YANKEE MOONSHINE,OH-S-20118,904 HAMBURG ST BLDG,RIPLEY,OH,45167,BROWN,39.3321206,-84.3508736
"BECKMAN BROTHERS DISTILLERY, LLC",BECKMAN BROTHERS DISTILLERY,OH-S-20121,2810 HGHLAND AVE,NORWOOD,OH,45212,,39.3321206,-84.3508736
BOTTOMSUP LLC,PUT IN BAY BREWERY & DISTILLERY,OH-S-20132,441 CATAWBA AVE,PUT IN BAY,OH,43456,,41.37345035,-83.11878783655376
"INDIAN SPRING WINERY, LLC",SPEAR & HATCHET DISTILLING,OH-S-20142,10862 FITE HAUCK RD,SARDINIA,OH,45171,BROWN,39.3321206,-84.3508736
"FIFTH GENERATION, INC.",,TX-S-1,12101 MOORE RD,AUSTIN,TX,78719,TRAVIS,30.1665671,-97.7889995
"REBECCA CREEK DISTILLERY, LLC","REBECCA CREEK DISTILLERY, LLC",TX-S-15016,26605 BULVERDE RD,SAN ANTONIO,TX,78260,BEXAR,29.51674055,-98.4829881
DORCOL DISTILLING COMPANY,,TX-S-20015,1902 S FLORES ST STE A/B,SAN ANTONIO,TX,78204,BEXAR,29.41972655,-98.48517444228465
JOHN F. CONNELLY,COPPERHEAD MOUNTAIN DISTILLERY,SC-S-20001,14 S MAIN ST,TRAVELERS REST,SC,29690,GREENVILLE,34.96166555,-82.4330564617369
"DAUFUSKIE ISLAND RUM COMPANY, LLC",DAUFUSKIE ISLAND DISTILLERY,SC-S-20015,270 HAIG POINT RD,DAUFUSKIE ISLAND,SC,29915,BEAUFORT,32.2756634,-81.0799734
"HILTON HEAD DISTILLERY, LLC",HILTON HEAD DISTILLERY,SC-S-20027,14 CARDINAL RD,HILTON HEAD ISLAND,SC,29926,USA,32.2756634,-81.0799734
"DIAGEO AMERICAS SUPPLY, INC.",,KY-S-15002,3860 FITZGERALD RD,LOUISVILLE,KY,40216,JEFFERSON,38.12756005,-85.77883046992378
DUELING GROUNDS DISTILLERY LLC,,KY-S-20013,208 HARDING RD,FRANKLIN,KY,42134,SIMPSON,36.69669155,-86.57078011083122
A L DISTILLERY INC,,KY-S-20027,4708 PINEWOOD RD,LOUISVILLE,KY,40229,JEFFERSON,38.1437267,-85.5849089
"CROOKED TAIL DISTILLING CO., LLC",,KY-S-20040,106 E WASHINGTON ST,PRINCETON,KY,42445,CALDWELL,36.8225989,-87.43018358222676
