owner_name,operating_name,permit_number,street,city,state,zip,county,latitude,longitude
"PARK BREWING, L.L.C.",ATWATER SPIRITS,MI-S-20039,1175 LAKEPOINTE ST,GROSSE POINTE PARK,MI,48230,WAYNE,42.36412165,-83.08849193200862
"BULLWHEEL SPIRITS COMPANY, LLC",,MI-S-20040,"3100 KEYSTONE RD, N",TRAVERSE CITY,MI,49686,TRAVERSE,44.282221,-85.39700280254453
"AQUAMARINE SPRINGS, LLC",AQUAMARINE SPRINGS,MI-S-20043,507 S ASHLEY ST,ANN ARBOR,MI,48103,WASHTENAW,42.3893748,-83.50637874238865
ELLISON BREWERY AND SPIRITS LLC,ELLISON BREWERY AND SPIRITS,MI-S-20044,4903 DAWN AVE STE E,EAST LANSING,MI,48823,,42.739906149999996,-84.50638842275859
"LANSING BREWING COMPANY, LLC",HARD NOSE SPIRITS,MI-S-20046,518 E SHIAWASSEE ST,LANSING,MI,48912,INGHAM,42.739906149999996,-84.50638842275859
"OUR BREWING COMPANY, LLC",,MI-S-20047,76 E 8TH ST STE 1,HOLLAND,MI,49423,OTTAWA,42.828009,-86.0961055
"ANN ARBOR DISTILLING COMPANY, LLC",,MI-S-20049,220 FELCH ST,ANN ARBOR,MI,48103,WASHTENAW,42.3893748,-83.50637874238865
"NOMAD CIDERY, LLC",,MI-S-20050,2500 KROUPA RD,TRAVERSE CITY,MI,49686,,44.282221,-85.39700280254453
"VANDER MILL, LLC",LONG ROAD DISTILLERY,MI-S-20053,505 BALL AVE NE,GRAND RAPIDS,MI,49503,KENT,43.1777258,-85.2909243
"IRON FISH DISTILLERY, LLC",IRON FISH DISTILLERY,MI-S-20054,14234 DZUIBANEK RD,THOMPSONVILLE,MI,49683,MANISTEE,44.282221,-85.39700280254453
"POISON FROG BREWERY COMPANY, LLC",POISON FROG BREWERY,MI-S-20055,1908 HORTON RD,JACKSON,MI,49203,JACKSON,42.739906149999996,-84.50638842275859
"L AND B SPIRITS, LLC",,MI-S-20056,614 S JEFFERSON AVE,MIDLAND,MI,48640,MIDLAND,43.6607817,-84.2401667
VÖKIN LLC,,MI-S-20057,710 JUNCTION ST,PLYMOUTH,MI,48170,WAYNE,42.3893748,-83.50637874238865
"OLD NATION BREWING COMPANY, LLC",,MI-S-20058,1500 W GRAND RIVER AVE,WILLIAMSTON,MI,48895,MI,42.739906149999996,-84.50638842275859
LOST LAKE DISTILLERY LLC,,MI-S-20059,142 MAPLE ST,WYANDOTTE,MI,48192,WAYNE,42.36412165,-83.08849193200862
"BLIND PIG DISTILLING COMPANY, LLC",BLIND PIG DISTILLING COMPANY,MI-S-20061,33980 GROESBECK HWY,CLINTON TOWNSHIP,MI,48035,MACOMB,42.36412165,-83.08849193200862
"COPPERCRAFT DISTILLERY, LLC",,MI-S-20062,184 120TH AVE,HOLLAND,MI,49424,OTTAWA,42.828009,-86.0961055
"MOTOR CITY BREWING WORKS, INC.",,MI-S-20063,470 W. CANFIELD ST,DETROIT,MI,48201,,42.36412165,-83.08849193200862
"LES CHENEAUX DISTILLERS, INC.",,MI-S-20064,172 S MERIDIAN ST,CEDARVILLE,MI,49719,MACKINAC,45.7795325,-84.7328110494403
ETHANOLOGY L.L.C.,ETHANOLOGY,MI-S-20065,127 AMES ST,ELK RAPIDS,MI,49629,ANTRIM,44.282221,-85.39700280254453
HOMES BREWERY LLC,,MI-S-20066,2321 JACKSON AVE,ANN ARBOR,MI,48103,WASHTENAW,42.3893748,-83.50637874238865
"18TH AMENDMENT, LLC",18TH AMENDMENT SPIRITS CO.,MI-S-20069,350 W WESTERN AVE,MUSKEGON,MI,49440,MUSKEGON,43.0365071,-86.2190423
"5 LAKES BREWING COMPANY, LLC",5 LAKES DISTILLERY,MI-S-20070,1638 142ND AVE,DORR,MI,49323,,42.828009,-86.0961055
"MICHIGAN BEER CELLAR, LLC",CELLAR BREWING COMPANY,MI-S-20074,133 E DIVISION ST NW,SPARTA,MI,49345,KENT,43.4680605,-85.9765669
"MASH MAVERICKS, INC.",MICHIGRAIN DISTILLERY,MI-S-20075,523 E SHIAWASSEE ST,LANSING,MI,48912,INGRAM,42.739906149999996,-84.50638842275859
BOWRIGHT WHISKEY COMPANY,,MI-S-20076,2626 N DECKER RD,LAKE CITY,MI,49651,MISSAUKEE,44.282221,-85.39700280254453
HIGH FIVE SPIRITS LLC,GYPSY VODKA,MI-S-20078,330 W MITCHELL ST,PETOSKEY,MI,49770,,45.7795325,-84.7328110494403
"WEST MICHIGAN RUM COMPANY, LLC",SULACO,MI-S-20079,2701 MCILWRAITH ST,MUSKEGON HEIGHTS,MI,49444,MUSKEGON,43.0365071,-86.2190423
NORTH CHANNEL BREWING LLC,,MI-S-20080,86 WASHINGTON AVE,MANISTEE,MI,49660,,43.95601215,-86.40058252808981
"JAYDA GALE DISTILLING, INC.",,MI-S-20081,152 S MAIN ST,WAYLAND,MI,49348,ALLEGAN,42.828009,-86.0961055
"COTTON BREWING COMPANY, LLC",,MI-S-20088,626 OAK ST,ADRIAN,MI,49221,USA,41.874695849999995,-84.0319347
"NORTHERN UNITED BREWING COMPANY, LLC",,MI-S-20098,428 BRIDGE ST NW,GRAND RAPIDS,MI,49504,,42.828009,-86.0961055
"WEST MICHIGAN RUM COMPANY, LLC",,MI-S-20110,500 W WESTERN AVE STE 300,MUSKEGON,MI,49440,,43.0365071,-86.2190423
"STARBOARD PARTNERS, LLC",THIRD WIND DISTILLING CO.,MI-S-20118,1700 MARQUETTE ST BLDG B,BAY CITY,MI,48706,BAY,43.6607817,-84.2401667
"FOGGY MOUNTAIN SPIRIT COMPANY, LLC",,MI-S-20120,5439 THUMB LAKE RD,BOYNE FALLS,MI,49713,,45.0239763,-84.6915349
